title,url
"Nightingale Walk, Hemel Hempstead - 1 bedroom apartment for rent - Connells",https://www.connells.co.uk/property-to-rent/property-details?r=P1095B2513
"1 bed maisonette to rent in Hayden Place, Royal Court, Hemel Hempstead HP3 - 29272894 - Zoopla",http://www.zoopla.co.uk/to-rent/details/29272894?search_identifier=afa0ddd121513b6564f5676afc936de6#UzhF10sFwIbWbdj6.97
"The Larches, Bushey WD23, 1 bedroom maisonette to rent - 39080101 | PrimeLocation",http://www.primelocation.com/to-rent/details/39080101?search_identifier=9cb822610f1c4aa9b437f647dd7452ad#eOkJbfHbb6fAWASG.97
"Gladstone Road, Watford WD17, 1 bedroom flat to rent - 39080100 | PrimeLocation",http://www.primelocation.com/to-rent/details/39080100?search_identifier=92d034c90b9ea2c5ed3af558c54c27bc#C8bHJT309POWeYmH.97
"Hagden Lane, Watford WD18, 1 bedroom terraced house to rent - 39079661 | PrimeLocation",http://www.primelocation.com/to-rent/details/39079661?search_identifier=92d034c90b9ea2c5ed3af558c54c27bc#wxzQSVuCZOo95YMu.97
"Hemel Hempstead Â£825 p.c.m.",http://www.vebra.com/details/property/25899407
"Cotterells, Hemel Hempstead HP1, 1 bedroom flat to rent - 39078516 | PrimeLocation",http://www.primelocation.com/to-rent/details/39078516?search_identifier=a1031b55c9312be706642584e80e4d27#uWx0khkVHsBQKf4e.97
"Evans Wharf, Hemel Hempstead HP3, 1 bedroom flat to rent - 36631802 | PrimeLocation",http://www.primelocation.com/to-rent/details/36631802?search_identifier=a1031b55c9312be706642584e80e4d27#vXIZfD7r29j1hrMG.97
"1 bedroom apartment to rent in Town Centre, HP1",http://www.rightmove.co.uk/property-to-rent/property-38808786.html
"TopFloor Super Studio Flat&Balcony - Apartments for Rent in Watford",https://www.airbnb.com/rooms/10051274?checkin=01%2F25%2F2016&checkout=02%2F20%2F2016&guests=3&s=bVHte_o5
"Attic Double Bedroom Retreat - Cabins for Rent in Amersham",https://www.airbnb.com/rooms/9420517?checkin=01%2F27%2F2016&checkout=02%2F28%2F2016&guests=2&s=7o983AFR
"Room 40 minutes from Central London, 5 mins from Harry Potter & WB Studios - Private room - London",https://www.wimdu.co.uk/offers/8ASPBN25?city=Watford%2C+Hertfordshire%2C+UK&distance=6.1272773313464555&guests=2&lat=51.656489&lng=-0.39031999999997424&max_price_step=1&min_bedrooms=1&per_page=25&sort_by=score
"1 bed flat to rent in Selden Hill, Hemel Hempstead HP2 - 38971499 - Zoopla",http://www.zoopla.co.uk/to-rent/details/38971499?search_identifier=afa0ddd121513b6564f5676afc936de6#v51tUtoLR3EW6Ld9.97
"1 bedroom flat to rent in Gladstone Road, WD17",http://www.rightmove.co.uk/property-to-rent/property-52544302.html
